Table Name:,Pri-2012 Male Retiree,,,,,,
Table Identity:,3534,,,,,,
Provider Domain:,soa.org,,,,,,
Provider Name:,Retirement Plans Experience Committee,,,,,,
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-amount.xlsx, Sheet 'Total Dataset', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-amount.xlsx",,,,,,
Content Type:,Annuitant Mortality,,,,,,
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012.",,,,,,
EffDate:,,,,,,,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.,,,,,,
Keywords:,"Aggregate, Annuitant Mortality, United States of America",,,,,,
,,,,,,,
Table # ,1,,,,,,
Table Description:,"Pri-2012 Amount-weighted Mortality Table - Male Retiree. Ages 50-120. Base Year January 1, 2012 - December 31, 2012.",,,,,,
Nation:,United States of America,,,,,,
Scaling Factor:,0,,,,,,
Data Type:,Floating Point,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,
"Row, Column (if applicable)->MinScaleValue:",50,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,
,,,,,,,
age,conditional_death,conditional_survival,survival_cdf,death_cdf,death_pdf,survival_pdf,death_pdf
50,0.00488,0.99512,0.99512,0.00488,0.00488,0.00510496559999996,0.0048561856
51,0.00513,0.99487,0.9900150344,0.00998496559999995,0.00510496559999996,0.00535598133610404,0.005078777126472
52,0.00541,0.99459,0.984659053063896,0.015340946936104,0.00535598133610404,0.00562240319299479,0.00532700547707568
53,0.00571,0.99429,0.979036649870901,0.0209633501290988,0.00562240319299479,0.00591338136522024,0.00559029927076285
54,0.00604,0.99396,0.973123268505681,0.026876731494319,0.00591338136522024,0.00622798891843634,0.00587766454177431
55,0.0064,0.9936,0.966895279587245,0.0331047204127554,0.00622798891843634,0.00658455685398907,0.00618812978935837
56,0.00681,0.99319,0.960310722733256,0.0396892772667444,0.00658455685398907,0.00695264963258879,0.00653971602181347
57,0.00724,0.99276,0.953358073100667,0.0466419268993332,0.00695264963258879,0.00731225642068212,0.00690231244924883
58,0.00767,0.99233,0.946045816679985,0.0539541833200153,0.00731225642068212,0.00764405019877423,0.00725617141393548
59,0.00808,0.99192,0.93840176648121,0.0615982335187896,0.00764405019877423,0.0079294949267662,0.00758228627316818
60,0.00845,0.99155,0.930472271554444,0.0695277284455558,0.0079294949267662,0.00817885126696349,0.00786249069463505
61,0.00879,0.99121,0.922293420287481,0.0777065797125193,0.00817885126696349,0.00842976186142763,0.00810695916432696
62,0.00914,0.99086,0.913863658426053,0.0861363415739469,0.00842976186142763,0.00873653657455309,0.00835271383801413
63,0.00956,0.99044,0.9051271218515,0.0948728781485,0.00873653657455309,0.0091417839307002,0.00865301528490034
64,0.0101,0.9899,0.8959853379208,0.1040146620792,0.0091417839307002,0.00970352120968232,0.00904945191300008
65,0.01083,0.98917,0.886281816711117,0.113718183288883,0.00970352120968232,0.0104049485281885,0.0095984320749814
66,0.01174,0.98826,0.875876868182929,0.124123131817071,0.0104049485281885,0.0112462589874688,0.0102827944324676
67,0.01284,0.98716,0.86463060919546,0.13536939080454,0.0112462589874688,0.0122172305079319,0.0111018570220697
68,0.01413,0.98587,0.852413378687528,0.147586621312472,0.0122172305079319,0.0132891245737385,0.0120446010408548
69,0.01559,0.98441,0.83912425411379,0.16087574588621,0.0132891245737385,0.0144665021409217,0.013081947121634
70,0.01724,0.98276,0.824657751972868,0.175342248027132,0.0144665021409217,0.0157427164851621,0.0142170996440122
71,0.01909,0.98091,0.808915035487706,0.191084964512294,0.0157427164851621,0.0171166421509198,0.0154421880274603
72,0.02116,0.97884,0.791798393336786,0.208201606663214,0.0171166421509198,0.0185835082916144,0.0167544540030064
73,0.02347,0.97653,0.773214885045172,0.226785114954828,0.0185835082916144,0.0201499799042771,0.0181473533520102
74,0.02606,0.97394,0.753064905140895,0.246935094859105,0.0201499799042771,0.0218162903019318,0.0196248714279717
75,0.02897,0.97103,0.731248614838963,0.268751385161037,0.0218162903019318,0.0235827678285565,0.0211842723718848
76,0.03225,0.96775,0.707665847010406,0.292334152989594,0.0235827678285565,0.0254405872000242,0.0228222235660856
77,0.03595,0.96405,0.682225259810382,0.317774740189618,0.0254405872000242,0.027404988686583,0.0245259980901832
78,0.04017,0.95983,0.654820271123799,0.345179728876201,0.027404988686583,0.0294341711870147,0.026304130291043
79,0.04495,0.95505,0.625386099936784,0.374613900063216,0.0294341711870147,0.0314881901318171,0.0281111051921585
80,0.05035,0.94965,0.593897909804967,0.406102090195033,0.0314881901318171,0.0335314759875884,0.0299027597586801
81,0.05646,0.94354,0.560366433817379,0.439633566182621,0.0335314759875884,0.0354824025893165,0.0316382888533292
82,0.06332,0.93668,0.524884031228062,0.475115968771938,0.0354824025893165,0.037277263897817,0.0332356568573609
83,0.07102,0.92898,0.487606767330245,0.512393232669755,0.037277263897817,0.0388427550855273,0.034629832615794
84,0.07966,0.92034,0.448764012244718,0.551235987755282,0.0388427550855273,0.0400970644940656,0.0357485412154142
85,0.08935,0.91065,0.408666947750652,0.591333052249347,0.0400970644940656,0.0409525148340929,0.0365143917815208
